省份,运营商,133 号段,153 号段,173 号段,177 号段,180 号段,181 号段,189 号段,190 号段,191 号段,193 号段,199 号段
西藏,电信,1332259,,1735459,1771199,1807699,1814148,1898909,1904894,1918919,1938869,1998929
西藏,电信,1339800,,1738900,1774070,1808900,1814149,1898990,1905330,,1938900,1998930
西藏,电信,1339801,,1738901,1774071,1808901,1814320,1898991,1905331,,1938901,1998931
西藏,电信,1339802,,1738902,1774072,1808902,1814321,1898992,1905332,,1938902,1998932
西藏,电信,1339803,,1738903,1774073,1808903,1814322,1898993,1905333,,1938903,1998933
西藏,电信,1339804,,1738904,1774074,1808904,1814323,1898994,1905334,,1938904,1998934
西藏,电信,1339805,,1738905,1774075,1808905,1814324,1898995,1905335,,1938905,1998935
西藏,电信,1339806,,1738906,1774076,1808906,1814325,1898996,1905336,,1938906,1998936
西藏,电信,1339807,,1738907,1774077,1808907,1814326,1898997,1905337,,1938907,1998937
西藏,电信,1339808,,1738908,1774078,1808908,1814327,1898998,1905338,,1938908,1998938
西藏,电信,1339809,,1738909,1774079,1808909,1814328,1898999,1905339,,1938909,1998939
西藏,电信,,,1738990,1775840,1808990,1814329,,,,,1998940
西藏,电信,,,1738991,1775841,1808991,1814380,,,,,1998941
西藏,电信,,,1738992,1775842,1808992,1814381,,,,,1998942
西藏,电信,,,1738993,1775843,1808993,1814382,,,,,1998943
西藏,电信,,,1738994,1775844,1808994,1814383,,,,,1998944
西藏,电信,,,1738995,1775845,1808995,1814384,,,,,1998945
西藏,电信,,,1738996,1775846,1808996,1814385,,,,,1998946
西藏,电信,,,1738997,1775847,1808997,1814386,,,,,1998947
西藏,电信,,,1738998,1775848,1808998,1814387,,,,,1998948
西藏,电信,,,1738999,1775849,1808999,1814388,,,,,1998949
西藏,电信,,,1739710,1778450,,1814389,,,,,1998950
西藏,电信,,,1739711,1778451,,1814520,,,,,1998951
西藏,电信,,,1739712,1778452,,1814521,,,,,1998952
西藏,电信,,,1739713,1778453,,1814522,,,,,1998953
西藏,电信,,,1739714,1778454,,1814523,,,,,1998954
西藏,电信,,,1739715,1778455,,1814524,,,,,1998955
西藏,电信,,,1739716,1778456,,1814525,,,,,1998956
西藏,电信,,,1739717,1778457,,1814526,,,,,1998957
西藏,电信,,,1739718,1778458,,1814527,,,,,1998958
西藏,电信,,,1739719,1778459,,1814528,,,,,1998959
西藏,电信,,,,1778900,,1814529,,,,,
西藏,电信,,,,1778901,,1818490,,,,,
西藏,电信,,,,1778902,,1818491,,,,,
西藏,电信,,,,1778903,,1818492,,,,,
西藏,电信,,,,1778904,,1818493,,,,,
西藏,电信,,,,1778905,,1818494,,,,,
西藏,电信,,,,1778906,,1818495,,,,,
西藏,电信,,,,1778907,,1818496,,,,,
西藏,电信,,,,1778908,,1818497,,,,,
西藏,电信,,,,1778909,,1818498,,,,,
西藏,电信,,,,1778990,,1818499,,,,,
西藏,电信,,,,1778991,,1818900,,,,,
西藏,电信,,,,1778992,,1818901,,,,,
西藏,电信,,,,1778993,,1818902,,,,,
西藏,电信,,,,1778994,,1818903,,,,,
西藏,电信,,,,1778995,,1818904,,,,,
西藏,电信,,,,1778996,,1818905,,,,,
西藏,电信,,,,1778997,,1818906,,,,,
西藏,电信,,,,1778998,,1818907,,,,,
西藏,电信,,,,1778999,,1818908,,,,,
西藏,电信,,,,,,1818909,,,,,
西藏,电信,,,,,,1818990,,,,,
西藏,电信,,,,,,1818991,,,,,
西藏,电信,,,,,,1818992,,,,,
西藏,电信,,,,,,1818993,,,,,
西藏,电信,,,,,,1818994,,,,,
西藏,电信,,,,,,1818995,,,,,
西藏,电信,,,,,,1818996,,,,,
西藏,电信,,,,,,1818997,,,,,
西藏,电信,,,,,,1818998,,,,,
西藏,电信,,,,,,1818999,,,,,
